year,month,day,US MIR % (6mo),EU MIR %
2018,10,26,2.47,0
2018,10,29,2.49,0
2018,10,30,2.48,0
2018,10,31,2.49,0
2018,11,01,2.49,0
2018,11,02,2.50,0
2018,11,05,2.51,0
2018,11,06,2.52,0
2018,11,07,2.51,0
2018,11,08,2.52,0
2018,11,09,2.52,0
2018,11,12,ND,0
2018,11,13,2.53,0
2018,11,14,2.52,0
2018,11,15,2.51,0
2018,11,16,2.50,0
2018,11,19,2.52,0
2018,11,20,2.51,0
2018,11,21,2.52,0
2018,11,22,ND,0
2018,11,23,2.52,0
2018,11,26,2.54,0
2018,11,27,2.53,0
2018,11,28,2.53,0
2018,11,29,2.52,0
2018,11,30,2.52,0
2018,12,03,2.56,0
2018,12,04,2.58,0
2018,12,05,ND,0
2018,12,06,2.56,0
2018,12,07,2.54,0
2018,12,10,2.54,0
2018,12,11,2.55,0
2018,12,12,2.56,0
2018,12,13,2.56,0
2018,12,14,2.56,0
2018,12,17,2.54,0
2018,12,18,2.53,0
2018,12,19,2.54,0
2018,12,20,2.55,0
2018,12,21,2.54,0
2018,12,24,2.52,0
2018,12,25,ND,0
2018,12,26,2.54,0
2018,12,27,2.49,0
2018,12,28,2.48,0
2018,12,31,2.56,0
2019,01,01,ND,0
2019,01,02,2.51,0
2019,01,03,2.47,0
2019,01,04,2.51,0
2019,01,07,2.54,0
2019,01,08,2.54,0
2019,01,09,2.52,0
2019,01,10,2.51,0
2019,01,11,2.50,0
2019,01,14,2.52,0
2019,01,15,2.52,0
2019,01,16,2.49,0
2019,01,17,2.50,0
2019,01,18,2.50,0
2019,01,21,ND,0
2019,01,22,2.51,0
2019,01,23,2.51,0
2019,01,24,2.50,0
2019,01,25,2.51,0
2019,01,28,2.51,0
2019,01,29,2.51,0
2019,01,30,2.50,0
2019,01,31,2.46,0
2019,02,01,2.46,0
2019,02,04,2.49,0
2019,02,05,2.50,0
2019,02,06,2.50,0
2019,02,07,2.49,0
2019,02,08,2.49,0
2019,02,11,2.51,0
2019,02,12,2.50,0
2019,02,13,2.51,0
2019,02,14,2.51,0
2019,02,15,2.50,0
2019,02,18,ND,0
2019,02,19,2.52,0
2019,02,20,2.51,0
2019,02,21,2.51,0
2019,02,22,2.51,0
2019,02,25,2.51,0
2019,02,26,2.51,0
2019,02,27,2.52,0
2019,02,28,2.50,0
2019,03,01,2.52,0
2019,03,04,2.54,0
2019,03,05,2.53,0
